Topic nr. ;Topic-lapel_udkast;Usikker?;Theological group;Top topic-similarity;Word 0;Word 1;Word 2;Word 3;Word 4;Word 5;Word 6;Word 7;Word 8;Word 9;Word 10;Word 11;Word 12;Word 13;Word 14;Word 15;Word 16;Word 17;Word 18;Word 19;Word 20;Word 21;Word 22;Word 23;Word 24;Word 25;Word 26;Word 27;Word 28;Word 29;Word 30;Word 31;Word 32;Word 33;Word 34;Word 35;Word 36;Word 37;Word 38;Word 39;Word 40;Word 41;Word 42;Word 43;Word 44;Word 45;Word 46;Word 47;Word 48;Word 49;Word 50;Word 51;Word 52;Word 53;Word 54;Word 55;Word 56;Word 57;Word 58;Word 59;Word 60;Word 61;Word 62;Word 63;Word 64;Word 65;Word 66;Word 67;Word 68;Word 69;Word 70;Word 71;Word 72;Word 73;Word 74;Word 75;Word 76;Word 77;Word 78;Word 79;Word 80;Word 81;Word 82;Word 83;Word 84;Word 85;Word 86;Word 87;Word 88;Word 89;Word 90;Word 91;Word 92;Word 93;Word 94;Word 95;Word 96;Word 97;Word 98;Word 99
Topic 0;Sin, Forgiveness, and Salvation;;Antropology, soteriology;16, 24, 23;gud;synd;synder;forladelse;guds;menneske;frelse;syndernes;synden;syndere;overfor;død;jesus;skyld;nåde;liv;syndens;omvendelse;hjerte;fortabt;frelsen;synders;bod;vej;bærer;gerninger;korset;fald;omvende;hjertet;søn;får;broder;bort;tager;spørgsmål;tilgivelse;amen;dersom;frelst;fortabte;frelses;verdens;enkelte;vantro;straf;menneskes;hedder;søger;nød;evigt;adam;religiøse;forlades;lyst;svar;dybe;gerning;gave;byrde;nådegave;svaret;apostelen;fuld;daglig;anger;synderen;fundet;sold;naturlige;david;port;skylden;hovmod;fjendskab;fortabelse;frelser;lam;lod;overtrædelser;bar;åben;vrede;omvendt;råbe;bud;riges;skyldige;synderes;nådes;elendighed;omvendte;forladt;kvinde;fortabelsens;bestemt;syndet;prøver;forlade;rækker
Topic 1;Death, Resurrection, and Eternal Life;;Soteriology;;liv;døden;død;døde;kristus;opstandelse;håb;livet;levende;kristi;opstandelsen;dødens;sejr;lever;graven;leve;lazarus;opstanden;håbet;dø;langfredag;dør;opstod;forbi;jesu;grav;evige;evigt;påskemorgen;gamle;opstandelsens;påsken;budskab;oprejst;engang;opstå;helvede;opstandne;virkelighed;nederlag;synden;begravet;disciple;længe;stod;forkyndt;påskens;tilværelse;forkynder;gik;bryder;korsfæstet;dele;korsfæstede;sidst;vender;påskedag;morgen;oprejse;egentlige;livets;dødes;håbløse;sorg;stået;kvinderne;kirke;martha;dødsriget;begivenhed;levet;ulykke;sket;sejre;evighed;ringer;kirken;skete;budskabet;sejret;mørke;takke;fryd;lykkelige;sejren;skilles;broder;betyder;håbløshed;opfyldelse;forkyndelse;forkynde;historie;fuldt;miste;sand;ringe;gravene;legeme;opvækkelse
Topic 2;Jesus and his earthly ministry;X;Christology, Salvation history;;ord;johannes;syge;salige;salig;døberen;tale;evangeliet;jesu;tvivl;fattige;bud;læge;døden;syg;rask;sygdom;vente;gerninger;raske;øjeblik;spedalske;myndighed;blinde;sidder;inde;manden;trods;træt;messias;jorden;forarges;døve;lamme;stod;døber;fængsel;ven;sygdommen;lægen;hjælpe;svar;tvivlen;helbredelse;skaber;trænger;hjælper;kap;måde;fængslet;tørster;åbenbaring;dage;hjulpet;syndere;undergerninger;sendte;står;straks;prædikes;døde;sundhed;forkyndes;fattigdom;livs;disciple;ærinde;træde;seng;sidde;kongens;lægedom;regel;hungrer;opgivet;prøvet;største;levi;anfægtelse;direkte;sjældent;dam;herodes;snak;renses;forringes;sørger;slags;vokse;stum;siges;bryde;ringe;helbredt;bind;rør;døberens;melder;mæle;håbløst
Topic 3;Prayer and Divine Help;;Spirituality;24, 25, 20;bøn;bede;beder;gud;nød;hjælp;bønnen;hjem;hjælpe;fader;bad;bed;bønnens;hjulpet;lære;nøden;bønner;kvinde;bedt;trænger;bestemt;hjælpen;fadervor;andres;tider;søge;daglige;kraft;velsignelse;møde;dagens;erfaring;onde;dagen;åndeligt;åndelige;bo;brudgommen;seende;får;råb;råbe;olie;bedende;gudsfrygt;lært;luk;tankerne;virkelig;ægteskabet;egentlig;forbøn;livs;råbte;sygdom;kvinden;kamp;lærer;lampen;fromme;nødvendigt;derom;olien;lær;begynde;israels;fremmed;danmark;kananæiske;hjælper;mangel;skade;ægteskab;had;forpligtelse;sammenhold;resten;aftenbøn;sådant;prøvelse;grænse;krigen;samaritan;hus;bedre;hold;grænsen;dersom;afvisning;timelig;hunde;råbet;selviskhed;forbillede;paradis;snarere;nytter;søger;måder;almindelighed
Topic 4;The people of Israel;X;Salvation history;;herren;folk;herrens;gamle;tid;indre;ord;falske;fred;tale;vente;israel;frelse;israels;ydre;røst;trøst;profeter;mission;troende;hjerter;kende;viser;talte;venter;tegn;arbejdet;simeon;jerusalem;sjæl;lære;arbejde;folkene;fare;templet;byen;søge;profeten;profet;sted;forventning;drive;gerninger;hvile;fejl;enkelt;hav;kald;hellig;hjem;mener;helligdommen;åndelige;salme;lede;rede;samfund;efesus;hedningerne;bekymringer;tidens;omvende;hjerterne;omvendelse;gik;folket;genkomst;uvished;jøderne;stilhed;fuld;ånd;zakkæus;sent;lever;dom;tales;længes;missions;kendetegn;land;uro;opfyldes;rent;byens;by;ventede;udholdenhed;hedenske;forkyndere;gammelt;nat;strålende;råbte;esajas;fylder;messias;vagt;forladt;forud
Topic 5;Heaven and the Kingdom of God;;Eskatology;;rige;guds;verden;får;glæde;forventning;tid;lever;riges;himmeriges;tager;lyst;arbejde;riget;indbydelse;tilværelse;børnene;betyder;tiden;børn;pligt;gave;fremtiden;jord;forventningen;rigets;begynder;disciple;krig;voksne;tanker;jordiske;indenfor;mødes;lyder;tværtimod;søg;velsignede;retfærdighed;redde;storhed;skønne;mad;barnet;eksempel;retfærdighedens;lykkes;blevet;selvfølgelig;lægger;gaver;besat;krigen;historie;dagens;ordning;nadver;samfund;nødvendige;salige;grænse;oplever;hovedet;kræfter;lignelsen;anstrengelser;kalken;lykke;forkyndt;voksnes;bruger;uret;tyder;indbyde;gengæld;mark;indbydelsen;rent;møje;krav;ulykker;taler;fremgang;forventningens;dømt;arbejder;bedste;gøres;fortjeneste;grænsen;forvandler;forløsningen;uretfærdig;nærværende;frie;frygter;løfte;allermest;optimisme;luk
Topic 6;The word of God and its reception;X;Teology, christology and soteriology;;ord;kristus;gud;verden;guds;liv;håb;høre;ordet;tro;står;betyder;evangeliet;holde;kristi;får;ganske;jesu;fred;sted;død;gode;taler;virkelig;slet;evangelium;jorden;blevet;dom;midt;lade;dér;tror;vantro;hverken;kalder;forstår;overfor;forstå;eget;bort;lader;jesus;sikkerhed;egne;leve;side;gælder;nåde;fald;amen;tale;består;taget;talt;fattige;troende;trods;nøjes;virkelige;budskab;skjult;d.v;øjne;lever;møder;kender;tilhører;tilgivelse;dø;borte;sandheden;stedet;ethvert;gået;lyder;rette;engang;fast;virkeligheden;frygt;skønt;tegn;vide;håbet;steder;fremtid;dage;trøst;bedre;medmennesker;sikre;dommen;tager;samvittighed;ydre;kræver;ønsker;fortvivlelse;sådant
Topic 7;Truth, Lies, and Spiritual Warfare;;Spirituality;;sandheden;sandhed;djævelen;onde;guds;sandhedens;løgn;kamp;ånd;tid;sandt;menneske;magt;synd;mennesker;brød;lade;kristendommen;løgnen;ørkenen;blod;kejseren;kampen;fred;gælder;djævelens;satan;spil;ånder;skrevet;sværd;mørke;vold;kød;viser;fast;levede;krigen;mulighed;spørge;ingenting;fristelse;abrahams;bilde;falde;lader;livet;krig;løgnens;fristet;sejr;våben;hed;ondskab;vej;djævel;kaldes;helvede;prædiken;pligt;mennesket;følte;sande;skabe;sandheder;bibelen;sandelig;fristes;person;købe;slår;troede;skete;modsatte;religion;kultur;lukket;står;kejserens;tide;abraham;ondes;fjende;menneskeheden;sejren;modig;dersom;evighed;udnytte;forhold;passer;farligste;udgår;indefra;duer;usynlige;idealer;vig;fristeren;fristelsen
Topic 8;The love and sacrifice of Christ;;Christology, soteriology;;kærlighed;jesus;kærligheden;elske;kors;mennesker;elsker;jesu;korset;fjender;tjene;lidelse;bud;døden;onde;kærlighedens;fjende;elskede;give;eget;hjerte;ondt;elsket;offer;hensyn;tjeneste;side;bære;verdens;lidelsen;skyld;lider;plads;midt;frelse;iblandt;ære;kærligheds;rene;lidelser;hader;tjener;lide;viser;fader;ofre;hjerter;korsets;betyder;hade;forstand;bar;tog;søstre;hvilket;sandhed;tilhører;stiller;let;nærmeste;kræver;prisen;hustru;højre;vold;tjenesten;dér;tilgive;brødre;svært;vers;syndige;betale;redde;korsfæstede;findes;blind;gåde;skete;ansvaret;opfylde;fødder;skilles;omkostningerne;moder;hensynsløs;forældre;sagfører;ægte;driver;grav;endog;barmhjertighed;autoritet;langfredag;værste;grund;taler;genløsning;lidelsens
Topic 9;Wealth, Poverty, and Spiritual Riches;;Spirituality;;gud;rige;sjæl;rigdom;fattige;penge;give;enhed;rig;navn;mennesker;svar;menneske;bygge;gav;hus;grund;glæde;fattigdom;lykke;fast;ejer;fattig;lagt;besøg;fundet;evigt;verden;værdi;bygger;fået;bygges;fællesskab;svaret;evige;hænder;taget;unge;holdt;åndelige;budene;slags;fylde;sten;bleven;utro;bygget;umuligt;ofre;rigere;altsammen;spørge;kreds;frelst;fuldkommen;fandt;lære;guld;betale;skat;tanker;verdslige;enke;offer;byggede;tab;menigheden;tager;længsel;færdig;alvor;rigdommen;spørgsmålet;spurgte;valgt;ånd;glemte;klæder;grundvold;indenfor;skabt;usikkerhed;rigtige;klippen;pengene;samle;ejendom;sat;samfundet;lader;enkelt;gods;templet;hjælper;stene;optaget;timelige;samlet;beror;mammon
Topic 10;Light/Darkness, and Spiritual Fruitfulness;X;Spirituality;;lys;mørke;frugt;ordet;lyset;ord;mørket;guds;bære;høst;verdens;sæden;gode;liden;høsten;stund;sæd;jord;sået;glæde;træet;lyse;bærer;høster;natten;billede;verden;grund;aften;salt;forladelse;nat;lyst;dagen;jorden;sår;skinner;vintræet;skabe;solen;frugter;hjerte;talt;sande;vækst;mørkets;skinne;tænder;syndernes;bygger;hjerter;ordets;vokser;grene;grenene;forbindelse;børns;sol;lampe;træ;frugten;mørkt;tænker;sommer;marken;kornet;time;fælles;slukkes;rod;taknemlighed;lysets;angst;hvide;troens;juleaften;skjule;glæder;naturen;vintræ;vokse;gren;lyser;gro;markerne;rækker;eders;straks;fromme;udholdenhed;rene;skin;ende;skyer;ond;lignelsen;paradisæbler;sædemanden;stjernerne;grenen
Topic 11;God’s Mercy and Judgment;;Teology, soteriology;;gud;guds;nåde;retfærdighed;dom;barmhjertighed;godhed;lignelsen;kærlighed;gode;fået;herre;retfærdige;syndere;tjener;nådens;tjeneste;evangeliet;lignelse;lov;høre;tjenere;kalder;plads;måde;tjenesten;nådig;bedre;nåden;takke;afgørende;gælder;sætte;orden;dommen;grund;vingården;kår;frugter;rette;onde;retfærdig;vrede;løn;børn;forgæves;give;lovens;modtaget;gave;krav;træ;udenfor;sat;forskel;moralske;bærer;værdighed;folk;gaver;fortjeneste;fortjent;billede;frugt;glemme;sandhed;mærket;evangeliets;dage;kristendom;fortid;sag;værd;klart;menneskers;skylder;spørger;dagen;øje;spørgsmål;fromme;strenge;torvet;vred;ufortjent;kongen;time;evner;ansigt;dommens;trang;anderledes;uretfærdige;altsammen;retten;talent;farisæernes;kræver;barmhjertigheden;nøjes
Topic 12;Power and freedom;;Spirituality, Christology;14, 20, 28, 7, ;magt;verden;frihed;ord;kristus;fri;magten;frie;herre;give;rette;hånd;stille;verdens;frygt;virkelig;døden;førerskab;bundet;lukker;plads;sande;friheden;vold;dør;lukket;syndens;højt;had;inde;lukkede;faderen;frit;søge;fare;frigørelse;hænder;sønnen;spørgsmålet;døren;tryghed;fører;onde;underlagt;sejre;ydre;dødens;vende;magter;største;trælle;uret;bryde;erkende;indre;hjælp;støvet;hersker;brudt;hjerter;herredømmet;åbne;blinde;kristendom;lænker;bånd;falske;frigøre;kår;tvang;mægtige;lande;ophøjet;menneskelige;herredømme;sukket;døre;formår;bundne;trældom;overvinde;tryg;lukke;krav;hyrde;anklage;røst;midler;unge;hjertet;alvor;binder;lukkes;åbner;selvhævdelse;behov;grænse;rejser;adgang;fremmed
Topic 13;Serving God in Life and Ministry ;X;Spirituality;;gud;herre;paulus;guds;tjeneste;tjener;sjæl;nat;muligt;dage;holdt;slap;kristi;mænd;skibet;stormen;stod;storm;kaldte;løb;ende;sagde;nåde;mester;kana;kald;land;havet;vold;legemet;vegne;regne;bundet;søen;vandet;sidste;nød;satte;årtusinder;klædt;sat;vinden;legeme;grebet;bryllup;hårdt;frels;endog;hu;mørket;evne;dåd;griber;borg;pris;synke;vågne;peder;frygt;stund;råb;vældige;tillid;nået;brylluppet;sejler;hænder;opgør;fængsel;lægger;drev;næppe;mening;festen;spise;værre;skib;havets;havn;sjæle;bjerge;storme;vender;kursen;begyndte;kapitel;celle;uendeligt;råber;tog;lemmer;duer;friske;pyntet;rolig;kaste;drives;forgår;trofaste;lidet
Topic 14;God’s Word and Peace in Turmoil;;Spirituality, theology;;ord;guds;verden;ordet;kristus;fred;herren;midt;ting;lyder;een;får;evangelium;herrens;glæde;står;taler;sandt;evangeliet;dage;gud;herlighed;søndag;livets;frem;altsammen;verdens;møder;håb;høre;evig;hedder;trods;dåb;bestandig;lys;gælder;sted;hånd;forkynder;dødens;nød;hvorledes;frelse;mindes;synge;klart;mørke;tider;dåben;hin;tegn;herre;langt;kår;ovenfra;trøst;tekst;minder;dagens;troen;påny;skete;budskab;vide;betyder;høje;slet;sandhed;falder;kraft;egne;møde;veje;lyde;alting;iblandt;vejen;minde;gerning;måde;dåbens;mennesket;øjeblik;himmelen;evige;forkyndes;ordene;troens;gave;lyset;dybe;pinse;forstår;glans;påske;kommende;større;øde;grunden
Topic 15;The Name of Jesus;;Christology, ;;navn;jorden;jesu;himlen;verden;betyder;ære;kristne;jord;tro;jordens;frem;verdens;magt;himmel;evige;eget;engang;hånd;folk;skønne;himlens;løfter;håb;konge;hvide;sejr;gamle;lader;sag;ende;evighed;kræfter;plads;død;kalde;hedder;rige;højre;tænker;dom;syn;løfte;mål;skyld;kalder;stolte;nat;vand;tør;lægger;hus;lyse;skabt;navnet;navne;frelst;hoved;livets;almægtige;dø;fast;tanke;blik;troen;tidens;kære;rystes;året;elskede;begyndt;nederlag;begyndelse;nævner;sikre;æren;hoveder;fjerne;magten;årets;nikodemus;ejer;menneskeheden;hjemme;mørkets;tilværelse;sukker;tager;befaling;deroppe;krige;himmelen;nytår;stride;mer;bort;stjernerne;menneskesønnen;blå;ængstes
Topic 16;The Holy Spirit and Divine Inspiration;;Pneumatology;;guds;jesus;gud;ord;ånd;liv;paulus;jesu;ånden;mennesker;véd;nåde;verden;kristus;levende;frelser;tro;hellige;står;gerning;kraft;ordet;herren;frelse;helligånd;fader;tror;evige;give;søn;synd;helligånden;kristi;menighed;dåb;børn;rige;trænger;himlen;hjerte;bøn;lever;taler;troende;åndens;lov;vidnesbyrd;sind;bekendelse;leve;får;amen;dåben;tale;bede;bliv;virkelighed;evig;herlighed;vidner;synder;sjæl;hjerter;rom;borte;faders;eders;tak;virker;verdens;hvorledes;salighed;faderen;gælder;troens;syndens;frelst;sandhed;samfund;grund;sagde;blod;fylde;herrens;troen;læser;lyder;johannes;ild;kender;bekender;pagt;døbt;menigheden;findes;vidne;evigt;sand;lys;flok
Topic 17;Christmas and Incarnation;;Christology, holydays;;gud;guds;maria;jorden;frygt;søn;mennesker;menneske;jul;julen;nåde;glæde;lovsang;barn;grund;frygten;gamle;ansigt;født;fader;børn;største;fundet;faders;fred;herlighed;marias;julens;kende;mennesket;velbehag;menneskene;marie;kød;frygte;almægtige;moder;orden;johannes;bolig;kvinde;englen;takke;fødsel;himlen;muligt;jord;sang;indgriben;vilje;angst;slægt;søger;forældre;budskab;finder;skridt;hyrderne;tilbede;føde;lød;dø;kloge;vælde;griber;fuld;jomfru;frygter;virkelige;umuligt;sendt;gudsfrygt;sangen;sande;iblandt;sket;frelser;toner;søde;forkynder;arm;nazaret;stefanus;ophøjet;juleglæde;tom;led;tager;sandt;godhed;underet;bo;mægtige;anede;slægten;dyr;enbårne;tabte;engle;tabt
Topic 18;Life’s Path and Divine Guidance;;Spirituality;;vej;gud;vejen;tid;ting;livet;gælder;fører;børn;hånd;står;jesus;spørgsmål;gode;folk;let;møde;kender;livets;rette;målet;mål;stille;lade;lære;hjælp;fast;kærlighed;finder;tager;lidelse;vanskeligheder;tider;holde;hjælpe;strid;alvor;føre;herlighed;tale;bort;sorg;stærkt;eders;véd;gik;herre;sandt;frem;veje;midt;svært;får;stærke;sidste;slå;spørgsmålet;jerusalem;hjem;fald;forstand;altsammen;styrke;venter;tiden;sandhed;lægge;standse;svære;svage;trods;fri;møder;klar;vældige;nået;række;dele;kæmpe;stærkere;talt;lov;udenom;kæmper;plan;evige;muligt;regne;bærer;omsorg;tanker;vender;trænger;forstod;opad;lidelser;standser;sinde;fremad;trængsel
Topic 19;Life and Daily Sustenance;;Spirituality;;liv;livet;leve;livets;menneske;brød;mennesker;eget;døden;lever;gave;gud;død;give;krav;skyld;glæde;menneskeliv;større;vin;øjeblik;værd;glæden;hinanden;levede;angst;får;menneskelivet;bort;dør;livs;hånd;troen;fælles;forstår;dø;levet;åndeligt;tegn;gaver;modtage;mennesket;døde;tilværelse;rækker;leves;sandt;vand;fader;blevet;ende;kender;næring;skabte;menneskelige;rigtigt;jordiske;tænker;glad;gav;fyldt;tænke;oplysning;arbejdet;mætte;fået;gaven;vinen;modtager;daglige;grunde;tekst;tværtimod;bekymringer;dagligt;bestemt;øjeblikke;himlen;ødelagt;andens;medens;mærkelige;øde;begær;kort;drikke;hvilket;styret;stykke;tages;gavmildhed;slægt;sultne;indre;grund;dele;udenom;glæder;bekymre;ære
Topic 20;Divine Will and Worldly Challenges;X;Spirituality, theology, ;;gud;liv;guds;mennesker;kristus;vilje;verden;kristne;kraft;magt;leve;taler;forhold;onde;give;blevet;virkelig;ting;tanker;lade;eget;levende;sind;møder;kristendom;tjene;lever;betyder;gerning;tjeneste;kristen;behøver;frem;herre;tid;lydighed;tænker;forbindelse;virke;kræfter;ånd;forstå;kristi;kald;egne;sat;gode;ganske;vidnesbyrd;udtryk;bruger;ordet;tænke;hus;viser;vinde;betydning;tanke;menneskers;klart;kaldet;rige;sande;paulus;grad;trænger;væsen;én;længe;menneskelig;sætter;sætte;fået;betroet;rigtigt;måde;fører;jorden;kristendommen;tro;ønsker;spørger;forstår;indflydelse;gerninger;bruge;rede;personlige;større;deraf;enkelt;bøje;føler;bestemmelse;daglige;lede;handle;dengang;herredømme;billede
Topic 21;Narratives of Jesus;X;Christology, Salvation history;;søn;tale;gik;sagde;folk;jesus;talte;røst;stod;tog;tid;barnet;høre;forstå;faderen;josef;hjem;hjemme;fremmede;blevet;grad;skete;børn;måde;fortabte;egne;blod;sidst;herodes;levende;jøderne;billede;høj;gået;sorg;barn;lod;hyrde;højt;børnene;vidste;født;tværtimod;bibelen;moses;land;tanke;sad;mærkeligt;fandt;folket;siges;historie;kommen;døde;skikkelse;gerning;søgte;bort;faderens;mærke;råber;forbindelse;drage;drøm;natten;frelseren;rejste;manden;bagefter;tydeligt;medens;dengang;billedet;villet;værk;rejse;søster;hverken;jøde;fremmed;drevet;bjerget;bleven;lyst;side;sprog;fortæller;ført;forklaringen;skønt;bog;kaldte;vistnok;forstod;åbne;jødiske;jøder;lande;slog
Topic 22;Faith and doubt;;Spirituality, Christology;;tro;jesus;troen;tror;vantro;jesu;nød;troens;hjælp;herre;kraft;kærlighed;tillid;synd;tvivl;magt;hjælpe;frelse;vidste;sagde;troede;mulige;taler;disciplene;verdens;umuligt;give;frelser;bjerg;vide;stod;svar;kamp;virkelig;kræfter;vantroen;overbevisning;hvile;grund;situation;fornuft;skyld;føre;tog;thomas;fred;frelsen;afmagt;troende;frelsende;eget;undere;menneskers;lærte;rigtige;sorgen;fortælle;lidende;svært;tvivlen;magter;formår;apostlene;viser;underfulde;meninger;længes;ordet;bunds;talte;fast;stærkere;umulige;lydighed;løfte;forklarelsens;tilsyneladende;hjertes;værre;søge;historie;vendte;besked;filip;stilhed;kors;elias;oppe;menneskeliv;vantroens;tvivler;lytter;tør;overbevist;tros;beretning;disciple;bragte;korsets;farer
Topic 23;Jesus and the sinners;;Christology, spirituality;;jesus;hus;ganske;slags;vej;vejen;farisæeren;virkelig;grunden;mennesker;forbi;sag;krav;møder;borte;herre;slet;een;kende;tolderen;kender;tager;lade;bryder;toldere;får;fattige;finder;fødder;mener;vide;blik;ren;tør;kvinden;engang;kvinde;synder;forskellige;farisæer;lader;vidste;syn;næppe;samfund;plads;side;kalde;føle;svarer;fejl;bords;anderledes;bedrøvet;fundet;tolder;ærlig;rent;bort;langt;udenfor;tog;sådanne;forfærdelse;øjne;zakæus;almindelige;fald;enkelt;ønsker;bord;forskel;betød;an;fuld;andres;mulighed;rigdom;sorg;straks;blevet;slå;vender;almindelighed;tilfælde;alvor;sætter;lidet;sikkert;jeriko;begyndelsen;tvivl;står;skete;gives;fri;indbyder;ansigt;nazareth;højere
Topic 24;Personal Encounters with Christ;X;Christology, spirituality;;gud;ord;engang;står;jesus;gik;hjerte;sagde;øjne;sind;tro;langt;får;gav;sidste;slet;barn;ting;blevet;tænke;holde;frem;tænker;menneske;inde;ganske;børn;tror;give;mennesker;tak;gamle;bedre;begynder;høre;fået;kender;unge;glæde;vidste;mor;rigtig;hinanden;sidder;bære;kære;egentlig;sted;bange;gode;lært;stod;lov;gået;kalder;holdt;hjem;himlen;skyld;glade;føler;længe;sikkert;dybt;klare;hænder;tanker;selve;taget;bedste;kristne;fortæller;hjemme;stedet;beder;kendte;hellige;lå;kirke;tænkte;vide;stille;herre;rigtigt;høje;sad;tør;galt;større;gammel;forstår;samtidig;anderledes;svare;vilje;øjeblik;dér;ondt;sidst;lære
Topic 25;Discipleship and Following Jesus;;Spirituality;;jesus;ord;herren;peter;jesu;mennesker;måde;ting;disciple;sagde;tid;herre;overfor;står;frelser;dage;disciplene;bort;let;herrens;største;mon;navn;lyder;steder;apostlene;hellige;discipel;kender;bruge;prøve;tænk;hjælpe;peters;side;stærk;velsignelse;dér;troende;kendte;tog;trang;venner;fast;amen;stille;satan;gik;tekst;stund;gange;tænke;fald;møde;spørgsmål;véd;tjene;sådanne;tredje;slægt;lød;glad;nadveren;svarede;apostle;levede;evangelium;sandelig;tale;forstår;fristelser;brev;dengang;sag;begyndte;elskede;talte;læser;spørger;holdt;åndelig;ordene;fristelse;fulgte;brødre;ven;ægte;kaldt;ordet;grund;sidste;fristes;vidner;samles;simon;mødte;klart;aller;undertiden;apostlenes
Topic 26;The law and moral Obligation;;Theology, salvation history, spirituality;;lov;guds;jesus;loven;love;mennesker;gælder;hinanden;kraft;sætte;ære;arbejde;menneske;tale;sætter;liv;farisæerne;børn;eget;forholdet;rette;staten;sag;lovens;stilling;forlange;lod;sådant;egne;stand;forhånd;adlyde;almindelig;får;ondskab;tager;spænding;luther;give;tillid;martha;modstand;lydighed;vidt;udenfor;skyldige;moses;forargelse;forældre;klar;livslov;skabte;undgå;sikker;dør;jamen;satte;lyver;kæmpe;grunde;afgrund;bestemte;interesser;særlige;sagen;forskel;hjælpe;tegn;forsvare;statens;langt;spørger;personlighed;meste;ondskaben;trods;forbryder;kald;kende;løgn;anstrenge;ansvarlige;står;spørg;bestemt;stat;f.eks;mistillid;ånd;krig;omdømme;jesusbarnet;æren;samfundet;passe;død;retfærdige;hvormed;vide;ligeglade
Topic 27;The Danish Church and National Identity;;Nationhod, spirituality;24, 15, 20, 7;folk;danske;kirke;kirken;danmark;folket;konge;land;længe;tid;menighed;alvor;jerusalem;enkelte;gamle;dansk;landet;søndag;kristne;skæbne;herrens;dage;folks;tider;hedder;iblandt;søndagen;folkets;præster;kristen;fædreland;gøres;takke;angst;blevet;mænd;grund;præsten;præst;slår;landsmænd;jorden;slå;fremtid;danmarks;gælder;besøgelsestid;menigheden;kongen;sket;ihjel;idag;opgave;grundtvig;føre;måde;tiden;dagen;opleve;lands;evigheden;par;livet;by;kristent;ung;disciple;uge;sogn;indtog;vrede;historie;bestå;red;oplever;april;stærkere;situation;gjaldt;stilling;skyldes;synge;prædike;kamp;gav;palmesøndag;fremmede;syn;samles;indsats;ungdom;romerne;dyre;orden;ofre;følelse;kong;christian;morgen;frit
Topic 28;Human Interaction and  Evangelism;;Spirituality;;mennesker;menneske;tale;måde;evangeliet;overfor;mennesket;gud;taler;kirken;stedet;skyld;livet;ansvar;ganske;menneskets;jesu;virkelighed;mening;ordene;hinanden;meningen;trods;bundet;høre;lade;ansvaret;budskab;iblandt;betyder;frem;menneskers;menneskelige;mener;fællesskab;fælles;tales;kalder;lader;skæbne;indhold;tro;holde;kender;forskellige;menneskene;findes;handler;mål;forkynder;muligt;almindelige;føler;virkeligt;regner;tænke;angsten;gives;evangelium;glemt;ingenting;udenfor;bud;forkyndes;kende;mente;evangeliets;evne;budskabet;befaling;føle;stiller;rette;stilling;indenfor;egentlig;viser;virkeligheden;fast;øjeblikket;stillet;forkynde;tilværelsen;religion;fortælling;håb;mulighed;kirke;stærke;arbejde;skabe;sådanne;nød;alvorligt;anderledes;form;forklaring;idealer;klarhed;menneskes
Topic 29;Forgiveness;;Spirituality;;liv;livet;ord;jesu;levende;tilgivelse;menneske;gerninger;forhold;ganske;slet;jesus;måde;leve;forstå;gode;spørgsmål;gerning;mennesket;barmhjertighed;livs;glæde;engang;selve;livets;mening;taknemmelighed;virkeligheden;tilgive;moral;ting;forståelse;altsammen;svar;spørgsmålet;lutter;godhed;tale;evige;tilgivelsen;natur;tro;forstand;forholdet;evighed;eget;skabt;øjeblik;hinanden;jeget;udtryk;kilde;egentlig;menneskeligt;derimod;menneskelighed;turde;aldeles;give;ethvert;lade;ondskab;karakter;forkyndelse;forsigtighed;hverken;lyst;ubekymrethed;mener;deraf;væsen;skabte;optræden;ubekymret;fuld;evangeliet;mene;bekymring;given;bilder;disciplene;egenkærlighed;tør;evigheden;ond;tanke;person;meninger;lader;ægte;spillet;evigt;består;skænket;næstekærlighed;elske;modsætning;rent;udenfor;stedet
